[字幕1] 皆さん、こんにちは。タイツです。  
[字幕2] 2025年11月23日の国際金融・ビジネスニュースを、  
[字幕3] 世界のマーケット目線でコンパクトにお届けしていきます。  

[字幕4] 本日は、政治献金スキャンダルからテック業界の雇用不安、  
[字幕5] 宇宙開発の試練、国債市場の動き、  
[字幕6] そして年末商戦や資産運用トレンドまで、  
[字幕7] 幅広いトピックが揃っています。  
[字幕8] それでは、さっそくニュースを一つずつ見ていきましょう。  

[字幕9] ニュース1：フージーズ元メンバーに懲役14年  
[字幕10] 違法な政治献金スキームで有罪  

[画像1] https://www.wsj.com/us-news/fugees-member-sentenced-to-14-years-for-campaign-donation-scheme-7bbb7850?mod=hp_lista_pos5  

[字幕11] 人気ヒップホップグループ「フージーズ」の元メンバーが、  
[字幕12] アメリカの選挙キャンペーンに絡む  
[字幕13] 違法な献金スキームで有罪となり、  
[字幕14] 懲役14年の判決を受けました。  
[字幕15] 海外資金を使った影響工作や、  
[字幕16] 政治献金の透明性を巡る問題が  
[字幕17] 改めて浮き彫りになっています。  

[字幕18] 金融市場にとっては  
[字幕19] 直接的な価格インパクトは限定的ですが、  
[字幕20] ・マネーロンダリング対策  
[字幕21] ・政治献金の規制強化  
[字幕22] ・エンタメ業界と政治資金の関係  
[字幕23] といった点で、  
[字幕24] コンプライアンスやESG投資の観点から  
[字幕25] 関心が高まりそうです。  

[字幕26] ニュース2：マイクロソフトのブラッド・スミス氏  
[字幕27] 「シアトルの累進課税でテック雇用流出の恐れ」  

[画像2] https://www.bloomberg.com/news/articles/2025-11-21/microsoft-s-brad-smith-warns-of-tech-job-loss-in-seattle-from-progressive-taxes  

[字幕28] マイクロソフトの幹部ブラッド・スミス氏が、  
[字幕29] ワシントン州で検討されている  
[字幕30] 高所得者向けの累進課税強化について、  
[字幕31] 「シアトルのテック雇用が他地域に流出し、  
[字幕32] 地域経済を痛めるリスクがある」と  
[字幕33] 警鐘を鳴らしました。  

[字幕34] テック企業は、  
[字幕35] ・税制  
[字幕36] ・規制環境  
[字幕37] ・人材確保のしやすさ  
[字幕38] を踏まえて拠点を最適化します。  
[字幕39] 税負担が重くなれば、  
[字幕40] オースティンやマイアミなど、  
[字幕41] 他のテックハブへの移転・分散が  
[字幕42] 進む可能性があります。  

[字幕43] 投資家にとっては、  
[字幕44] ・地域別の雇用・不動産市場  
[字幕45] ・地方債（ミュニシパルボンド）  
[字幕46] ・テック企業の長期的な  
[字幕47] 人件費・拠点戦略  
[字幕48] を読むうえで、  
[字幕49] 重要なシグナルと言えます。  

[字幕50] ニュース3：スペースXのスターシップ・ブースター  
[字幕51] 地上試験で破損か  

[画像3] https://www.bloomberg.com/news/articles/2025-11-21/spacex-s-starship-booster-appears-to-burst-apart-in-ground-test  

[字幕52] スペースXの次世代大型ロケット  
[字幕53] 「スターシップ」の新型ブースターが、  
[字幕54] テキサス州での地上試験中に破損した  
[字幕55] とみられる映像が報じられました。  

[字幕56] 宇宙開発は、  
[字幕57] ・高リスク・高コスト  
[字幕58] ・試験段階での失敗は  
[字幕59] ある意味「織り込み済み」  
[字幕60] の世界ですが、  
[字幕61] ・打ち上げスケジュールの遅れ  
[字幕62] ・契約している衛星事業者や  
[字幕63] 宇宙関連ベンチャーへの影響  
[字幕64] ・宇宙ビジネス全体の投資マインド  
[字幕65] といった面で、  
[字幕66] 短期的な不透明感が  
[字幕67] 強まる可能性があります。  

[字幕68] ただし、長期投資の観点では、  
